"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2015","AQS","060731002","1","2","ppm","23","Escondido","17","71.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/02/2015","AQS","060731002","1","1.3","ppm","15","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/03/2015","AQS","060731002","1","1.2","ppm","14","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/04/2015","AQS","060731002","1","1.3","ppm","15","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/05/2015","AQS","060731002","1","1.6","ppm","18","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/06/2015","AQS","060731002","1","1.9","ppm","22","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/07/2015","AQS","060731002","1","1.8","ppm","20","Escondido","18","75.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/08/2015","AQS","060731002","1","1.5","ppm","17","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/09/2015","AQS","060731002","1","1.1","ppm","13","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/10/2015","AQS","060731002","1","1.2","ppm","14","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/11/2015","AQS","060731002","1","0.8","ppm","9","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/12/2015","AQS","060731002","1","0.9","ppm","10","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/13/2015","AQS","060731002","1","0.7","ppm","8","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/14/2015","AQS","060731002","1","1","ppm","11","Escondido","20","83.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/15/2015","AQS","060731002","1","1.4","ppm","16","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/16/2015","AQS","060731002","1","1.6","ppm","18","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/17/2015","AQS","060731002","1","1.4","ppm","16","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/18/2015","AQS","060731002","1","1.1","ppm","13","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/19/2015","AQS","060731002","1","1.4","ppm","16","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/20/2015","AQS","060731002","1","0.9","ppm","10","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/21/2015","AQS","060731002","1","0.8","ppm","9","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
"01/22/2015","AQS","060731002","1","1.6","ppm","18","Escondido","24","100.0000","42101","Carbon monoxide","054","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","33.127769000864","-117.075086"
